Farmaco,Reaccion,Dosis,Respuesta,N
Morfina,Aprehension,0.075,0.613,40
Morfina,Aprehension,0.125,0.4,60
Morfina,Aprehension,0.175,0.26,170
Morfina,Aprehension,0.225,0.256,96
Morfina,Aprehension,0.275,0.341,80
Morfina,Aprehension,0.325,0.321,40
Morfina,Aprehension,0.375,0.444,42
Morfina,Aprehension,0.425,0.35,40
Morfina,Aprehension,0.5,0.522,40
Meperidina,Aprehension,0.4,0.322,58
Meperidina,Aprehension,0.6,0.286,68
Meperidina,Aprehension,0.8,0.328,42
Meperidina,Aprehension,1,0.365,64
Meperidina,Aprehension,1.2,0.492,36
Meperidina,Aprehension,1.4,0.423,82
Meperidina,Aprehension,1.6,0.356,98
Meperidina,Aprehension,1.8,0.398,92
Meperidina,Aprehension,2,0.319,114
Meperidina,Aprehension,2.2,0.255,62
Meperidina,Aprehension,2.4,0.253,58
Meperidina,Aprehension,2.6,0.271,36
Meperidina,Aprehension,2.8,0.315,34
Meperidina,Aprehension,3.2,0.172,28
