Farmaco,Reaccion,Dosis,Respuesta,N
Morfina,Emesis,0.075,0.532,40
Morfina,Emesis,0.125,0.58,60
Morfina,Emesis,0.175,0.564,170
Morfina,Emesis,0.225,0.567,96
Morfina,Emesis,0.275,0.764,80
Morfina,Emesis,0.325,0.679,40
Morfina,Emesis,0.375,0.926,42
Morfina,Emesis,0.425,0.678,40
Morfina,Emesis,0.5,0.841,40
Meperidina,Emesis,0.4,0.289,58
Meperidina,Emesis,0.6,0.24,68
Meperidina,Emesis,0.8,0.297,42
Meperidina,Emesis,1,0.352,64
Meperidina,Emesis,1.2,0.601,36
Meperidina,Emesis,1.4,0.459,82
Meperidina,Emesis,1.6,0.561,98
Meperidina,Emesis,1.8,0.527,92
Meperidina,Emesis,2,0.582,114
Meperidina,Emesis,2.2,0.703,62
Meperidina,Emesis,2.4,0.639,58
Meperidina,Emesis,2.6,0.417,36
Meperidina,Emesis,2.8,0.665,34
Meperidina,Emesis,3.2,0.483,28
